ticker,quarter_ended,total_income,net_profit_loss,earnings_per_share
CENTRALBK,31-Mar-25,"10,47,605.00","1,04,202.00",1.27
BSE,31-Mar-25,"92,638.00","49,367.00",35.96
SUNDARMFIN,31-Dec-24,"1,66,376.00","34,906.00",31.42
COROMANDEL,31-Mar-25,"5,11,315.00","38,890.00",13.21
SJVN,31-Dec-24,"69,965.00","13,925.00",0.35
COCHINSHIP,31-Mar-25,"1,80,665.52","28,469.83",10.82
FEDERALBNK,31-Mar-25,"8,15,529.00","1,10,831.00",4.44
PAGEIND,31-Mar-25,"1,11,820.49","16,400.50",147.04
COFORGE,31-Mar-25,"3,44,130.00","30,730.00",38.82
AUBANK,31-Mar-25,"5,03,126.71","50,369.86",6.77
VMM,31-Mar-25,"2,56,652.20","11,511.20",0.25
MOTILALOFS,31-Mar-25,"1,20,854.73","-6,318.95",-1.08
LLOYDSME,31-Mar-25,"1,21,267.00","20,247.00",3.91
BDL,31-Dec-24,"91,655.77","14,712.54",4.01
KPITTECH,31-Mar-25,"1,57,450.30","24,472.50",9.01
TATAELXSI,31-Mar-25,"95,140.66","17,241.85",27.68
GLENMARK,31-Dec-24,"2,38,046.90","41,380.30",14.66
GLAXO,31-Mar-25,"1,01,505.00","26,287.00",15.52
ACC,31-Mar-25,"6,26,040.00","75,104.00",39.99
FORTIS,31-Dec-24,"40,083.00","3,956.00",0.52
PAYTM,31-Mar-25,"1,77,970.00","-58,050.00",-9.1
AWL,31-Mar-25,"18,29,163.00","19,066.00",1.47
NAM-INDIA,31-Mar-25,"58,958.00","29,860.00",4.71
HONAUT,31-Mar-25,"1,16,110.00","13,990.00",158.26
OLAELEC,31-Dec-24,"7,800.00","3,300.00",0.07
FLUOROCHEM,31-Dec-24,"1,13,700.00","15,300.00",13.93
MAHABANK,31-Mar-25,"7,71,176.00","1,49,338.00",1.94
BIOCON,31-Mar-25,"70,650.00","2,120.00",0.18
ESCORTS,31-Mar-25,"2,56,192.00","29,751.00",22.79
JUBLFOOD,31-Mar-25,"2,11,385.80","4,933.00",0.74
APLAPOLLO,31-Mar-25,"3,79,116.00","15,089.00",5.44
EXIDEIND,31-Mar-25,"4,17,547.00","25,460.00",3
SONACOMS,31-Mar-25,"92,057.80","16,368.50",2.64
TATATECH,31-Mar-25,"1,34,273.00","18,887.00",4.66
LTF,31-Mar-25,"4,02,443.00","63,059.00",2.53
GUJGASLTD,31-Mar-25,"4,36,333.00","28,718.00",4.17
360ONE,31-Mar-25,"12,267.00","7,041.00",1.8
3MINDIA,31-Dec-24,"1,10,677.92","11,376.60",100.99
MFSL,31-Mar-25,384,-259,-0.08
KEI,31-Mar-25,"2,95,188.80","22,654.80",23.71
AIAENG,31-Dec-24,"97,350.03","20,683.91",22.16
DEEPAKNTR,31-Dec-24,"55,927.00","1,725.00",1.26
NATIONALUM,31-Dec-24,"4,76,131.00","1,58,290.00",8.62
BLUESTARCO,31-Mar-25,"4,04,295.00","19,400.00",9.44
NIACL,31-Dec-24,"10,19,352.00","35,346.00",2.15
PSB,31-Mar-25,"3,83,570.00","31,278.00",0.46
APARINDS,31-Mar-25,"5,22,689.00","24,997.00",62.23
AJANTPHARM,31-Mar-25,"1,03,187.00","19,343.00",15.46
IPCALAB,31-Dec-24,"1,68,009.00","26,756.00",10.55
LICHSGFIN,31-Mar-25,"7,28,337.00","1,36,796.00",24.87
NLCINDIA,31-Mar-25,"3,09,868.00","65,623.00",4.73
IRB,31-Mar-25,"2,21,786.40","21,472.20",0.35
CRISIL,31-Mar-25,"51,502.00","13,012.00",17.79
GODREJIND,31-Mar-25,"1,11,209.00","-6,832.00",-2.03
DALBHARAT,31-Mar-25,"4,18,400.00","43,900.00",23.2
SYNGENE,31-Mar-25,"1,03,690.00","18,330.00",4.56
ENDURANCE,31-Mar-25,"2,99,812.30","24,513.30",17.43
METROBRAND,31-Dec-24,"71,042.00","9,412.00",3.46
JKCEMENT,31-Dec-24,"2,75,955.00","20,481.00",26.51
TATAINVEST,31-Mar-25,"5,171.00","3,520.00",6.96
IKS,31-Mar-25,"29,205.90","9,981.10",6
IGL,31-Mar-25,"4,43,131.00","34,923.00",2.49
ABFRL,31-Dec-24,"3,79,427.00","2,812.00",0.26
APOLLOTYRE,31-Mar-25,"6,45,112.30","18,461.80",2.91
FIRSTCRY,31-Dec-24,"76,279.40","3,779.80",0.73
STARHEALTH,31-Mar-25,"3,98,660.00",51,0.01
GODIGIT,31-Mar-25,"2,85,518.00","11,561.00",1.25
MRPL,31-Mar-25,"27,63,917.00","37,063.00",2.11
EMAMILTD,31-Mar-25,"84,705.00","18,973.00",4.35
KPRMILL,31-Mar-25,"1,78,015.00","20,455.00",5.98
CHOLAHLDNG,31-Mar-25,"5,153.00","3,760.00",2
SUNTV,31-Dec-24,"92,766.00","34,717.00",8.81
CDSL,31-Mar-25,"25,577.87","10,039.19",4.8
MANYAVAR,31-Mar-25,"38,949.30","10,110.50",4.16
BANDHANBNK,31-Mar-25,"6,13,348.23","31,790.43",1.97
GLAND,31-Dec-24,"1,07,584.60","29,512.30",17.91
GODFRYPHLP,31-Mar-25,"1,96,544.00","27,961.00",56.65
MEDANTA,31-Mar-25,"95,417.70","10,137.80",3.77
MSUMI,31-Mar-25,"2,51,113.00","16,493.00",0.37
BRIGADE,31-Mar-25,"1,53,229.00","24,935.00",10.35
NBCC,31-Dec-24,"2,10,619.46","12,859.73",0.48
HINDCOPPER,31-Dec-24,"34,357.00","6,290.00",0.65
POONAWALLA,31-Mar-25,"1,17,331.00","6,233.00",0.81
PPLPHARMA,31-Mar-25,"1,72,931.00","27,727.00",2.09
JBCHEPHARM,31-Mar-25,"91,487.00","14,980.00",9.63
DELHIVERY,31-Mar-25,"2,13,532.10","-1,654.30",-0.22
GILLETTE,31-Dec-24,"69,474.00","12,597.00",38.66
CARBORUNIV,31-Mar-25,"1,22,338.00","3,010.00",1.73
ABREL,31-Mar-25,"16,287.00","-8,124.00",-6.61
BASF,31-Mar-25,"3,20,922.00","4,710.00",10.9
ZFCVINDIA,31-Mar-25,"1,03,059.26","12,519.26",66
AEGISLOG,31-Dec-24,"70,836.00","6,579.00",1.87
ITI,31-Dec-24,"1,05,470.04","-6,711.75",-0.7
RADICO,31-Mar-25,"4,48,680.50","9,071.25",6.78
SUNDRMFAST,31-Mar-25,"1,53,778.00","12,449.00",5.92
TIMKEN,31-Dec-24,"68,480.60","7,430.60",9.88
TATACHEM,31-Mar-25,"3,55,100.00","-4,900.00",-2.9
CROMPTON,31-Mar-25,"2,07,657.00","17,175.00",2.63
ISEC,31-Dec-24,"1,58,560.00","50,339.00",15.5
JYOTICNC,31-Dec-24,"39,740.90","7,733.10",3.4
SUMICHEM,31-Dec-24,"65,370.10","8,431.10",1.69
LALPATHLAB,31-Mar-25,"60,240.00","14,840.00",17.8
INOXWIND,31-Dec-24,"94,438.00","5,924.00",0.45
HSCL,31-Mar-25,"1,14,238.00","15,823.00",3.21
LAURUSLABS,31-Mar-25,"1,72,217.00","25,190.00",4.68
EMCURE,31-Dec-24,"1,04,822.30","5,020.40",2.65
TVSHLTD,31-Mar-25,"11,80,749.00","64,396.00",134.52
GRINDWELL,31-Mar-25,"71,397.57","9,132.78",8.25
AIIL,31-Mar-25,"1,45,718.00","1,76,258.00",103.78
WHIRLPOOL,31-Dec-24,"1,61,108.00","2,678.00",2.11
SKFINDIA,31-Mar-25,"1,22,587.00","20,335.30",-
HATSUN,31-Mar-25,"2,25,137.00","4,301.00",1.93
NH,31-Dec-24,"87,369.50","7,922.30",3.9
NATCOPHARM,31-Dec-24,"57,560.00","12,490.00",6.97
KEC,31-Dec-24,"4,76,143.00","7,289.00",2.74
RATNAMANI,31-Mar-25,"1,72,425.86","20,315.97",28.99
PFIZER,31-Dec-24,"58,075.00","12,760.00",27.89
EIHOTEL,31-Dec-24,"72,235.00","21,973.00",3.52
CESC,31-Mar-25,"4,17,000.00","38,500.00",2.81
KIOCL,31-Dec-24,"19,122.00","-4,779.00",-0.79
PEL,31-Mar-25,"3,03,260.00","10,244.00",4.54
POLYMED,31-Mar-25,"46,513.77","9,183.42",8.92
ANGELONE,31-Mar-25,"1,03,343.50","18,025.80",19.97
PNBHOUSING,31-Mar-25,"2,04,526.00","56,711.00",21.82
IGIL,31-Mar-25,"31,321.50","14,072.60",3.26
CASTROLIND,31-Mar-25,"1,45,424.00","23,346.00",2.36
KANSAINER,31-Mar-25,"1,85,374.00",-,-
NUVAMA,31-Dec-24,"38,535.00","20,686.00",57.77
IRCON,31-Dec-24,"2,57,017.00","14,065.00",1.5
JWL,31-Mar-25,"1,01,078.15","9,732.73",2.29
TRITURBINE,31-Mar-25,"50,810.00","9,370.00",2.96
SHYAMMETL,31-Mar-25,"4,19,360.00","22,015.00",7.92
ANANTRAJ,31-Mar-25,"55,090.00","11,879.00",3.47
FSL,31-Mar-25,"63,833.10","9,234.90",1.34
ATUL,31-Mar-25,"1,50,034.00","13,013.00",42.97
CAMS,31-Mar-25,"36,958.17","11,280.44",23.08
AFFLE,31-Mar-25,"62,116.10","10,306.50",7.35
TEJASNET,31-Mar-25,"1,90,955.00","-6,201.00",-3.53
FIVESTAR,31-Mar-25,"75,974.98","27,912.39",9.49
APLLTD,31-Mar-25,"1,78,383.00","15,663.00",7.98
ABSLAMC,31-Mar-25,"50,080.00","22,808.00",7.91
JBMA,31-Mar-25,"1,66,232.00","7,203.00",2.81
KAJARIACER,31-Mar-25,"1,12,233.00","-5,488.00",-3.45
